DATE,TX,Q_TX,TN,Q_TN,TG,Q_TG,SS,Q_SS,SD,Q_SD,RR,Q_RR,QQ,Q_QQ,PP,Q_PP,HU,Q_HU,CC,Q_CC
20190101,64.0,1,48.0,0,78.0,1,5.0,0,0.0,0,0.0,0,19.0,0,10357.0,0,77.0,0,7.0,0
20190102,55.0,0,37.0,0,50.0,0,0.0,0,0.0,0,0.0,0,13.0,0,10431.0,0,71.0,0,7.0,0
20190103,46.0,1,43.0,0,49.0,1,0.0,0,0.0,0,0.0,0,13.0,0,10432.0,0,65.0,0,8.0,0
20190104,64.0,0,14.0,0,30.0,0,47.0,0,0.0,0,0.0,0,43.0,0,10423.0,0,73.0,0,5.0,0
20190105,100.0,0,16.0,0,40.0,0,0.0,0,0.0,0,0.0,0,13.0,0,10392.0,0,77.0,0,8.0,0
20190106,111.0,0,42.0,0,71.0,0,2.0,0,0.0,0,0.0,0,16.0,0,10368.0,0,80.0,0,8.0,0
20190107,93.0,0,60.0,0,86.0,0,0.0,0,0.0,0,0.0,0,13.0,0,10323.0,0,84.0,0,8.0,0
20190108,59.0,1,61.0,1,77.0,1,51.0,0,0.0,0,0.0,0,46.0,0,10281.0,0,71.0,0,1.0,0
20190109,73.0,0,19.0,0,39.0,0,31.0,0,0.0,0,0.0,0,37.0,0,10297.0,0,77.0,0,3.0,0
20190110,91.0,0,2.0,0,38.0,0,0.0,0,0.0,0,0.0,0,14.0,0,10306.0,0,87.0,0,7.0,0
20190111,110.0,0,16.0,0,53.0,0,2.0,0,0.0,0,0.0,0,17.0,0,10302.0,0,83.0,0,7.0,0
20190112,117.0,0,64.0,0,87.0,0,0.0,0,0.0,0,0.0,0,14.0,0,10232.0,0,79.0,0,8.0,0
20190113,98.0,1,86.0,0,102.0,1,1.0,0,0.0,0,0.0,0,16.0,0,10144.0,0,76.0,0,8.0,0
20190114,97.0,0,74.0,0,86.0,0,18.0,0,0.0,0,0.0,0,31.0,0,10203.0,0,68.0,0,6.0,0
20190115,99.0,0,14.0,0,55.0,0,1.0,0,0.0,0,2.0,0,17.0,0,10194.0,0,82.0,0,6.0,0
20190116,51.0,1,62.0,1,81.0,1,0.0,0,0.0,0,52.0,0,15.0,0,10059.0,0,92.0,0,7.0,0
20190117,71.0,0,21.0,0,36.0,0,61.0,0,0.0,0,0.0,0,56.0,0,10113.0,0,76.0,0,4.0,0
20190118,55.0,0,-14.0,0,29.0,0,8.0,0,0.0,0,0.0,0,25.0,0,10163.0,0,75.0,0,7.0,0
20190119,57.0,0,6.0,0,30.0,0,0.0,0,0.0,0,0.0,0,16.0,0,10098.0,0,85.0,0,8.0,0
20190120,64.0,0,-14.0,0,21.0,0,57.0,0,0.0,0,0.0,0,56.0,0,10179.0,0,80.0,0,2.0,0
20190121,66.0,0,-22.0,0,21.0,0,3.0,0,0.0,0,54.0,0,21.0,0,10212.0,0,84.0,0,7.0,0
20190122,34.0,1,10.0,0,38.0,1,40.0,0,0.0,0,48.0,0,48.0,0,10021.0,0,89.0,0,5.0,0
20190123,54.0,0,-1.0,0,16.0,0,16.0,0,0.0,0,2.0,0,33.0,0,10027.0,0,89.0,0,6.0,0
20190124,124.0,0,-28.0,0,13.0,0,0.0,0,0.0,0,10.0,0,17.0,0,10117.0,0,91.0,0,8.0,0
